Zonal office,Company,Incident date,Contaminant,Estimated quantity,Quantity recovered,Type of facility,Cause,FID,Site location name,Latitude,Longitude,LGA,Spill area habitat,States affected,TYPE_1
wa,FIRST,3/15/2019,cr,250,200,pl,eqf,121,OML 26 NPDC/FHN JV OGINI-ERIEMU OIL DELIVERY LINE OGHERE.,5.5288333,6.0665833,Ughelli-North,ss,DE,State
ph,NAOC,2/28/2019,cr,650,580,pl,sab,122,24'' OGODA-BRASS P/L@ EMAGO-KUGBO,4.7174722,6.4276667,Ogbia,ss,RI,State
ph,Aiteo E&P,2/28/2019,cr,1410.2,68,pl,sab,123,30'' NCTL P/ LINE @BILLIE/KRAKAMA MANIFOLD IN RIVERS STATE,4.5646,6.9097,Degema,sw,RI,State
ph,SPDC,2/25/2019,cr,288,112,pl,sab,124,14'' Okordia-Rumuekpe Trucnkline at ULa-Ikata,5.05129,6.583,Ahoada-West,ss,RI,State
wa,Heritage,2/24/2019,cr,4065,4025,pl,sab,125,"28"" Trans Forcados Pipeline at Batan",5.5627778,5.5577778,Warri-South,sw,DE,State
ph,SPDC,2/24/2019,cr,791,290,pl,sab,126,18'' ASSA-RUMUEKPE P/L @ EGBEDA-EMUOHA,5.24037,6.77008,Emuoha,la,RI,State
ph,SPDC,2/17/2019,cr,129,45,pl,sab,127,"28"" BOMU-BOMU TRANS NIGER PIPELINE",4.59499,7.25758,Bonny,sw,RI,State
ph,SPDC,2/13/2019,cr,313,244,pl,sab,128,28'' trans niger pipeline right of way at aleto,4.809025,7.103891,Eleme,"la,iw",RI,State
ph,SPDC,2/3/2019,cr,1010,295,pl,sab,129,12' IMO RIVER 0GALE TL ROW AT UZUAkU,4.893793,7.176448,Ukwa-West,la,AB,State
ph,SPDC,2/2/2019,cr,290,,pl,sab,130,20'' Kolocreek-Rumuekpe Trunkline @ KM9 Odau,4.92832,6.43714,Ogbia,"ss,sw",RI,State
wa,NDWEST,1/22/2019,cr,188,94,pl,sab,131,10'' UTOROGU / UPS DELIVERY LINE.,5.4538333,5.8898333,Ughelli-South,sw,DE,State
by,NAOC,1/20/2019,cr,104,66.96,pl,sab,132,10'' CLOUGH CREEK/TEBIDABA PIPELINE AT APOI,4.7318333,5.8498056,Southern-Ijaw,sw,BY,State
ph,NAOC,1/16/2019,cr,279.41,230,pl,sab,133,10'' OSHIE-OGODA PIPELINE @ AKARAOLU,5.1026389,6.5134444,Ahoada-West,,RI,State
ph,Aiteo E&P,1/7/2019,cr,2950,730,pl,sab,134,"CAWTHORNE CHANNEL 3, NTCL ROW",4.5738056,6.9397222,Degema,sw,RI,State
ph,NAOC,1/6/2019,cr,373,251.5,wh,sab,135,Ebegoro 13T Well head. loweer master valves on the well head were removed by unknown persons,5.3572778,6.6829722,Ogba/Egbema/Ndoni,la,RI,State
wa,NPDC,12/31/2018,cr,118,117.7,mf,sab,136,NPDC OGHAREKI -1 LOCATION - OGHAREKI COMMUNITY.,5.9667722,5.6496944,Ethiope-West,la,DE,State
wa,Heritage,12/17/2018,cr,586,566,pl,eqf,137,"28"" Trans Forcados pipeline at Batan.",5.5627778,5.5580556,Warri-South,sw,DE,State
